지점명,일시,지점,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6,SPI9,SPI12,SPI18,SPI24,연도,월
추풍령,2016-11-30,135.0,0.20179999999999998,1.3097666666666667,0.5896,-0.4804333333333333,-0.1193,-0.37566666666666665,-0.0356,0.024033333333333337,-1.0461333333333334,-0.9251,2016,11
추풍령,2016-12-31,135.0,-0.06435483870967743,0.030258064516129037,1.2257741935483872,0.5896774193548387,-0.5175806451612904,-0.16287096774193546,-0.13145161290322582,-0.11412903225806452,-0.8481612903225806,-1.0513548387096774,2016,12
추풍령,2017-01-31,135.0,0.7097419354838709,0.2576774193548387,0.14896774193548387,1.268967741935484,0.6754193548387096,-0.42954838709677423,-0.289,-0.03332258064516129,-0.584,-1.0285483870967742,2017,1
추풍령,2017-02-28,135.0,0.3370714285714286,0.63125,0.2671071428571429,0.17785714285714288,1.277392857142857,0.6864285714285714,-0.35282142857142856,-0.0165,-0.01757142857142857,-1.0207857142857144,2017,2
추풍령,2017-03-31,135.0,-0.3727741935483871,-0.10861290322580645,0.13567741935483874,-0.06512903225806452,-0.011032258064516128,1.0928064516129032,-0.17435483870967744,-0.13770967741935483,0.22806451612903228,-1.1108709677419355,2017,3
추풍령,2017-04-30,135.0,0.0386,-0.1765,-0.12206666666666667,0.0603,-0.0492,0.027500000000000004,-0.5541666666666667,-0.3640666666666667,0.25266666666666665,-1.2497666666666667,2017,4
추풍령,2017-05-31,135.0,-0.9322258064516129,-0.6878387096774193,-0.7932258064516129,-0.6976774193548387,-0.5554193548387096,-0.5654193548387096,0.2037741935483871,-0.6819032258064516,-0.22132258064516128,-1.296,2017,5
추풍령,2017-06-30,135.0,-1.1319333333333332,-1.5734666666666668,-1.3221333333333334,-1.3590333333333333,-1.2314,-1.0663666666666667,-0.09776666666666665,-0.6964,-0.5319666666666667,-1.3044,2017,6
추풍령,2017-07-31,135.0,-0.4671612903225807,-0.8851935483870967,-1.1417741935483872,-1.1073870967741937,-1.1247419354838708,-1.0863548387096773,-1.0577419354838709,-1.1725806451612903,-0.658225806451613,-1.2099032258064515,2017,7
추풍령,2017-08-31,135.0,0.24370967741935484,-0.22729032258064516,-0.5366129032258065,-0.7403870967741935,-0.7413225806451613,-0.788258064516129,-0.7451935483870967,-0.3043225806451613,-0.5741290322580644,-0.5370967741935483,2017,8
추풍령,2017-09-30,135.0,-0.2132,-0.13523333333333334,-0.4187333333333333,-0.6842666666666666,-0.85,-0.8403666666666666,-0.8483,-0.4678333333333333,-0.6882666666666667,-0.3651,2017,9
추풍령,2017-10-31,135.0,0.4818387096774194,-0.078,-0.027064516129032257,-0.2908709677419355,-0.5589032258064516,-0.7237096774193548,-0.7308064516129033,-0.765483870967742,-0.749741935483871,-0.28425806451612906,2017,10
추풍령,2017-11-30,135.0,-1.1447,-0.08533333333333333,-0.35269999999999996,-0.19226666666666667,-0.4321,-0.7015,-0.8934666666666666,-0.8707666666666667,-0.9398,-0.5922666666666667,2017,11
추풍령,2017-12-31,135.0,-0.45741935483870966,-1.2508709677419356,-0.36667741935483866,-0.4835483870967742,-0.26429032258064517,-0.5073870967741936,-0.9193870967741936,-0.937516129032258,-0.9533225806451613,-0.6978387096774193,2017,12
추풍령,2018-01-31,135.0,0.6673548387096774,-0.002451612903225805,-0.8575483870967742,-0.18529032258064515,-0.35796774193548386,-0.19735483870967743,-0.9047741935483871,-0.9065483870967742,-1.086258064516129,-0.6242258064516129,2018,1
추풍령,2018-02-28,135.0,-0.30053571428571424,0.2007857142857143,-0.2651071428571429,-0.9113571428571429,-0.30514285714285716,-0.4911785714285714,-0.7783214285714285,-0.9701071428571428,-0.5070714285714286,-0.6838571428571428,2018,2
추풍령,2018-03-31,135.0,2.0862903225806453,1.7089677419354838,1.7081290322580645,1.2138709677419355,0.45961290322580645,0.6352258064516129,-0.1681935483870968,-0.6021290322580646,-0.2930967741935484,-0.5096129032258064,2018,3
추풍령,2018-04-30,135.0,1.4468999999999999,2.2063333333333333,2.120033333333333,2.2088666666666668,1.6964000000000001,1.1389,0.4619,-0.36743333333333333,-0.4489666666666666,-0.5154,2018,4
추풍령,2018-05-31,135.0,0.48254838709677417,1.129,1.8116774193548386,1.6948387096774193,1.7511935483870968,1.4831612903225806,0.5970967741935483,-0.09887096774193548,-0.3233870967741936,-0.5174333333333333,2018,5
추풍령,2018-06-30,135.0,-1.1983333333333335,-0.4014666666666667,0.3435666666666667,1.0848666666666666,0.9732666666666667,1.0328,0.6217,-0.03983333333333334,-0.5162333333333333,-0.6454666666666667,2018,6
추풍령,2018-07-31,135.0,-0.27741935483870966,-0.6219032258064516,-0.38606451612903225,0.019903225806451614,0.4643870967741936,0.4258709677419355,0.13593548387096777,0.043548387096774194,-0.6092903225806451,-0.7559032258064516,2018,7
추풍령,2018-08-31,135.0,-1.7881612903225805,-1.3393225806451612,-1.5329032258064517,-1.3304516129032258,-0.8968064516129032,-0.41425806451612907,-0.48261290322580647,-0.7599032258064515,-1.0795161290322581,-0.7132903225806452,2018,8
추풍령,2018-09-30,135.0,1.0260333333333334,-0.023266666666666668,-0.2705666666666667,-0.523,-0.39662068965517244,-0.13663333333333333,0.17403333333333335,0.03551724137931034,-0.5027,-0.31951724137931037,2018,9
추풍령,2018-10-31,135.0,1.3980000000000001,1.4286129032258064,0.5639333333333333,0.23741935483870968,-0.010096774193548388,0.05812903225806452,0.5418333333333333,0.4046451612903226,-0.14619354838709678,-0.22264516129032258,2018,10
추풍령,2018-11-30,135.0,0.17633333333333334,1.5395666666666665,1.4979666666666667,0.6550666666666667,0.3191333333333333,0.0637,0.6342333333333333,0.5754333333333332,0.03643333333333333,-0.14613333333333334,2018,11
추풍령,2018-12-31,135.0,-0.03903225806451613,0.07506451612903225,1.481548387096774,1.474193548387097,0.6598064516129033,0.2974516129032258,0.32480645161290317,0.5983870967741935,0.20451612903225805,-0.1669,2018,12
추풍령,2019-01-31,135.0,-1.3693548387096772,-0.7127419354838709,-0.4483225806451613,1.3260967741935485,1.3844838709677418,0.6204516129032258,0.024,0.522483870967742,0.3856129032258065,-0.1966774193548387,2019,1
추풍령,2019-02-28,135.0,0.008785714285714287,-0.6455714285714286,-0.6277499999999999,-0.42478571428571427,1.2100357142857143,1.5636071428571428,-0.042678571428571434,0.5824642857142858,0.23975,-0.24467857142857144,2019,2
추풍령,2019-03-31,135.0,-0.6254838709677419,-0.5877419354838709,-1.065806451612903,-0.8741935483870968,-0.6048387096774194,0.9674193548387098,0.132258064516129,0.2229032258064516,0.33903225806451615,-0.33225806451612905,2019,3
추풍령,2019-04-30,135.0,-0.12333333333333332,-0.5943333333333334,-0.6449999999999999,-0.9683333333333334,-0.8089999999999999,-0.593,0.303,-0.07666666666666666,0.249,-0.37266666666666665,2019,4
