"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-12-05 ~ 2025-12-04"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"54","경상남도 거제시 일운면 소동리","산4*","임야","자연녹지지역","-","202512","02","828.00","200","","-","중개거래","경남 거제시"
"55","경상남도 밀양시 초동면 대곡리","1***","공장용지","계획관리지역","-","202512","02","136.00","1,800","","-","직거래","-"
"56","경상남도 양산시 명곡동","4**","답","자연녹지지역","-","202512","02","175.00","1,328","","-","직거래","-"
"57","경상남도 함안군 가야읍 묘사리","1***","도로","계획관리지역","-","202512","02","60.00","1,440","지분","-","직거래","-"
"58","경상남도 진주시 대곡면 대곡리","7**","전","생산관리지역","-","202512","02","853.00","600","","-","중개거래","경기 김포시"
"59","경상남도 진주시 대곡면 대곡리","7**","전","생산관리지역","-","202512","02","231.00","180","","-","중개거래","경기 김포시"
"60","경상남도 양산시 명곡동","4**","답","자연녹지지역","-","202512","02","641.00","4,864","","-","직거래","-"
"61","경상남도 밀양시 산외면 금천리","3*","답","농림지역","12m미만","202512","02","1802.00","15,260","","-","직거래","-"
"62","경상남도 창원시 마산합포구 진전면 고사리","6**","전","생산관리지역","8m미만","202512","02","162.00","100","","-","중개거래","경남 창원시 마산합포구"
"63","경상남도 양산시 명곡동","4**","답","자연녹지지역","-","202512","02","3137.00","23,808","","-","직거래","-"
"64","경상남도 창원시 마산합포구 진전면 고사리","6**","전","생산관리지역","-","202512","02","479.00","400","","-","중개거래","경남 창원시 마산합포구"
"65","경상남도 통영시 용남면 동달리","1***","전","보전녹지지역","8m미만","202512","02","456.00","1,200","","-","직거래","-"
"66","경상남도 함안군 가야읍 묘사리","1***","대","계획관리지역","8m미만","202512","02","403.00","9,760","","-","직거래","-"
"67","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","-","202512","01","364.00","2,657","","-","직거래","-"
"68","경상남도 함안군 칠원읍 장암리","8**","전","계획관리지역","-","202512","01","982.00","1,997","","-","직거래","-"
"69","경상남도 함안군 칠원읍 장암리","8**","답","계획관리지역","-","202512","01","324.00","659","","-","직거래","-"
"70","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","744.00","5,134","","-","직거래","-"
"71","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","8m미만","202512","01","1035.00","7,814","","-","직거래","-"
"72","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","-","202512","01","413.00","2,932","","-","직거래","-"
"73","경상남도 함안군 칠원읍 장암리","8**","답","계획관리지역","-","202512","01","661.00","1,344","","-","직거래","-"
"74","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","1137.00","7,845","","-","직거래","-"
"75","경상남도 거제시 거제면 오수리","7**","전","자연환경보전","-","202512","01","635.00","4,382","","-","직거래","-"
"76","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","-","202512","01","116.00","800","","-","직거래","-"
"77","경상남도 거제시 거제면 오수리","8**","답","자연환경보전","-","202512","01","1025.00","6,663","","-","직거래","-"
"78","경상남도 창원시 의창구 동읍 다호리","1**","답","농림지역","12m미만","202512","01","5.00","50","지분","-","직거래","-"
"79","경상남도 창원시 의창구 동읍 다호리","1**","전","농림지역","8m미만","202512","01","5.00","50","지분","-","직거래","-"
"80","경상남도 진주시 사봉면 무촌리","3**","답","농림지역","8m미만","202512","01","2000.00","9,983","","-","직거래","-"
"81","경상남도 창원시 의창구 동읍 노연리","8**","잡종지","보전관리지역","-","202512","01","1790.00","32,500","","-","직거래","-"
"82","경상남도 진주시 지수면 압사리","2**","답","농림지역","8m미만","202512","01","1934.50","7,313","","-","직거래","-"
"83","경상남도 창원시 의창구 동읍 노연리","8**","잡종지","보전관리지역","8m미만","202512","01","995.00","21,000","","-","직거래","-"
"84","경상남도 거제시 거제면 오수리","7**","답","자연환경보전","-","202512","01","106.00","731","","-","직거래","-"
"85","경상남도 거제시 거제면 오수리","8**","전","자연환경보전","8m미만","202512","01","311.00","2,146","","-","직거래","-"
"86","경상남도 창원시 마산합포구 구산면 옥계리","7**","임야","계획관리지역","-","202512","01","258.00","1,850","","-","직거래","-"
"87","경상남도 거제시 거제면 오수리","7**","전","자연환경보전","-","202512","01","344.00","2,374","","-","직거래","-"
