시도,연도,작물,항목,값
전라남도,2020,감귤,10a당 생산량 (kg),1268
전라남도,2021,감귤,10a당 생산량 (kg),1298
전라남도,2022,감귤,10a당 생산량 (kg),1355
전라남도,2023,감귤,10a당 생산량 (kg),1276
전라남도,2024,감귤,10a당 생산량 (kg),1133
경상북도,2019,감귤,10a당 생산량 (kg),372
경상북도,2020,감귤,10a당 생산량 (kg),1117
경상북도,2021,감귤,10a당 생산량 (kg),1236
경상북도,2022,감귤,10a당 생산량 (kg),1223
경상북도,2023,감귤,10a당 생산량 (kg),1258
경상북도,2024,감귤,10a당 생산량 (kg),1056
경상남도,2019,감귤,10a당 생산량 (kg),1459
경상남도,2020,감귤,10a당 생산량 (kg),781
경상남도,2021,감귤,10a당 생산량 (kg),996
경상남도,2022,감귤,10a당 생산량 (kg),1069
경상남도,2023,감귤,10a당 생산량 (kg),1023
경상남도,2024,감귤,10a당 생산량 (kg),1031
강원도,2019,감귤,생산량 (톤),0
강원도,2020,감귤,생산량 (톤),0
강원도,2021,감귤,생산량 (톤),0
강원도,2022,감귤,생산량 (톤),0
강원도,2023,감귤,생산량 (톤),0
강원도,2024,감귤,생산량 (톤),-
전라남도,2019,감귤,생산량 (톤),707
전라남도,2020,감귤,생산량 (톤),600
전라남도,2021,감귤,생산량 (톤),1175
전라남도,2022,감귤,생산량 (톤),845
전라남도,2023,감귤,생산량 (톤),1258
전라남도,2024,감귤,생산량 (톤),1228
경상북도,2019,감귤,생산량 (톤),12
경상북도,2020,감귤,생산량 (톤),36
경상북도,2021,감귤,생산량 (톤),51
경상북도,2022,감귤,생산량 (톤),37
경상북도,2023,감귤,생산량 (톤),37
경상북도,2024,감귤,생산량 (톤),32
경상남도,2019,감귤,생산량 (톤),2
경상남도,2020,감귤,생산량 (톤),1
경상남도,2021,감귤,생산량 (톤),48
경상남도,2022,감귤,생산량 (톤),142
경상남도,2023,감귤,생산량 (톤),134
경상남도,2024,감귤,생산량 (톤),109
강원도,2019,감,면적 (ha),211
강원도,2020,감,면적 (ha),240
강원도,2021,감,면적 (ha),242
강원도,2022,감,면적 (ha),247
강원도,2023,감,면적 (ha),234
강원도,2024,감,면적 (ha),246
전라남도,2019,감,면적 (ha),4821
전라남도,2020,감,면적 (ha),4588
전라남도,2021,감,면적 (ha),4406
전라남도,2022,감,면적 (ha),4635
전라남도,2023,감,면적 (ha),4465
전라남도,2024,감,면적 (ha),4229
경상북도,2019,감,면적 (ha),4896
경상북도,2020,감,면적 (ha),4848
경상북도,2021,감,면적 (ha),4187
경상북도,2022,감,면적 (ha),4253
경상북도,2023,감,면적 (ha),4058
경상북도,2024,감,면적 (ha),4118
경상남도,2019,감,면적 (ha),6645
경상남도,2020,감,면적 (ha),6390
경상남도,2021,감,면적 (ha),7276
경상남도,2022,감,면적 (ha),7720
경상남도,2023,감,면적 (ha),7561
경상남도,2024,감,면적 (ha),7614
강원도,2019,감,10a당 생산량 (kg),936
강원도,2020,감,10a당 생산량 (kg),807
강원도,2021,감,10a당 생산량 (kg),725
강원도,2022,감,10a당 생산량 (kg),949
강원도,2023,감,10a당 생산량 (kg),853
강원도,2024,감,10a당 생산량 (kg),784
전라남도,2019,감,10a당 생산량 (kg),1089
전라남도,2020,감,10a당 생산량 (kg),794
전라남도,2021,감,10a당 생산량 (kg),752
전라남도,2022,감,10a당 생산량 (kg),814
전라남도,2023,감,10a당 생산량 (kg),692
전라남도,2024,감,10a당 생산량 (kg),866
경상북도,2019,감,10a당 생산량 (kg),1878
경상북도,2020,감,10a당 생산량 (kg),1200
경상북도,2021,감,10a당 생산량 (kg),1239
경상북도,2022,감,10a당 생산량 (kg),1325
경상북도,2023,감,10a당 생산량 (kg),1398
경상북도,2024,감,10a당 생산량 (kg),1498
경상남도,2019,감,10a당 생산량 (kg),1238
경상남도,2020,감,10a당 생산량 (kg),1201
경상남도,2021,감,10a당 생산량 (kg),1218
경상남도,2022,감,10a당 생산량 (kg),1235
경상남도,2023,감,10a당 생산량 (kg),978
경상남도,2024,감,10a당 생산량 (kg),1106
강원도,2019,감,생산량 (톤),1971
강원도,2020,감,생산량 (톤),1940
강원도,2021,감,생산량 (톤),1753
강원도,2022,감,생산량 (톤),2343
강원도,2023,감,생산량 (톤),2000
강원도,2024,감,생산량 (톤),1927
전라남도,2019,감,생산량 (톤),52483
전라남도,2020,감,생산량 (톤),36439
전라남도,2021,감,생산량 (톤),33119
전라남도,2022,감,생산량 (톤),37709
전라남도,2023,감,생산량 (톤),30894
전라남도,2024,감,생산량 (톤),36621
경상북도,2019,감,생산량 (톤),91937
경상북도,2020,감,생산량 (톤),58195
경상북도,2021,감,생산량 (톤),51863
경상북도,2022,감,생산량 (톤),56372
경상북도,2023,감,생산량 (톤),56721
경상북도,2024,감,생산량 (톤),61689
경상남도,2019,감,생산량 (톤),82270
경상남도,2020,감,생산량 (톤),76745
경상남도,2021,감,생산량 (톤),88612
경상남도,2022,감,생산량 (톤),95317
경상남도,2023,감,생산량 (톤),73948
경상남도,2024,감,생산량 (톤),84223
강원도,2019,단감,면적 (ha),3
강원도,2020,단감,면적 (ha),2
강원도,2021,단감,면적 (ha),1
강원도,2022,단감,면적 (ha),5
강원도,2023,단감,면적 (ha),5
강원도,2024,단감,면적 (ha),5
전라남도,2019,단감,면적 (ha),2219
전라남도,2020,단감,면적 (ha),2095
전라남도,2021,단감,면적 (ha),1797
전라남도,2022,단감,면적 (ha),1957
전라남도,2023,단감,면적 (ha),1854
전라남도,2024,단감,면적 (ha),1728
경상북도,2019,단감,면적 (ha),370
경상북도,2020,단감,면적 (ha),347
경상북도,2021,단감,면적 (ha),421
경상북도,2022,단감,면적 (ha),373
경상북도,2023,단감,면적 (ha),342
경상북도,2024,단감,면적 (ha),327
경상남도,2019,단감,면적 (ha),4700
경상남도,2020,단감,면적 (ha),4569
경상남도,2021,단감,면적 (ha),5540
경상남도,2022,단감,면적 (ha),5765
경상남도,2023,단감,면적 (ha),5580
경상남도,2024,단감,면적 (ha),5624
강원도,2019,단감,10a당 생산량 (kg),561
강원도,2020,단감,10a당 생산량 (kg),522
강원도,2021,단감,10a당 생산량 (kg),530
강원도,2022,단감,10a당 생산량 (kg),420
강원도,2023,단감,10a당 생산량 (kg),586
강원도,2024,단감,10a당 생산량 (kg),603
전라남도,2019,단감,10a당 생산량 (kg),1015
전라남도,2020,단감,10a당 생산량 (kg),970
전라남도,2021,단감,10a당 생산량 (kg),1032
전라남도,2022,단감,10a당 생산량 (kg),1050
전라남도,2023,단감,10a당 생산량 (kg),924
전라남도,2024,단감,10a당 생산량 (kg),1094
경상북도,2019,단감,10a당 생산량 (kg),1193
경상북도,2020,단감,10a당 생산량 (kg),969
경상북도,2021,단감,10a당 생산량 (kg),971
경상북도,2022,단감,10a당 생산량 (kg),989
경상북도,2023,단감,10a당 생산량 (kg),829
경상북도,2024,단감,10a당 생산량 (kg),807
경상남도,2019,단감,10a당 생산량 (kg),1354
경상남도,2020,단감,10a당 생산량 (kg),1320
경상남도,2021,단감,10a당 생산량 (kg),1302
경상남도,2022,단감,10a당 생산량 (kg),1304
경상남도,2023,단감,10a당 생산량 (kg),1065
경상남도,2024,단감,10a당 생산량 (kg),1180
강원도,2019,단감,생산량 (톤),14
강원도,2020,단감,생산량 (톤),9
강원도,2021,단감,생산량 (톤),7
강원도,2022,단감,생산량 (톤),20
강원도,2023,단감,생산량 (톤),30
강원도,2024,단감,생산량 (톤),29
전라남도,2019,단감,생산량 (톤),22529
전라남도,2020,단감,생산량 (톤),20320
전라남도,2021,단감,생산량 (톤),18548
전라남도,2022,단감,생산량 (톤),20551
전라남도,2023,단감,생산량 (톤),17132
전라남도,2024,단감,생산량 (톤),18901
경상북도,2019,단감,생산량 (톤),4412
경상북도,2020,단감,생산량 (톤),3358
경상북도,2021,단감,생산량 (톤),4092
경상북도,2022,단감,생산량 (톤),3689
경상북도,2023,단감,생산량 (톤),2832
경상북도,2024,단감,생산량 (톤),2635
경상남도,2019,단감,생산량 (톤),63656
경상남도,2020,단감,생산량 (톤),60307
경상남도,2021,단감,생산량 (톤),72131
경상남도,2022,단감,생산량 (톤),75155
경상남도,2023,단감,생산량 (톤),59399
경상남도,2024,단감,생산량 (톤),66355
강원도,2019,떫은감,면적 (ha),208
강원도,2020,떫은감,면적 (ha),239
강원도,2021,떫은감,면적 (ha),241
강원도,2022,떫은감,면적 (ha),242
강원도,2023,떫은감,면적 (ha),229
강원도,2024,떫은감,면적 (ha),241
전라남도,2019,떫은감,면적 (ha),2602
전라남도,2020,떫은감,면적 (ha),2494
전라남도,2021,떫은감,면적 (ha),2610
전라남도,2022,떫은감,면적 (ha),2677
전라남도,2023,떫은감,면적 (ha),2611
전라남도,2024,떫은감,면적 (ha),2500
경상북도,2019,떫은감,면적 (ha),4526
경상북도,2020,떫은감,면적 (ha),4501
경상북도,2021,떫은감,면적 (ha),3766
경상북도,2022,떫은감,면적 (ha),3880
경상북도,2023,떫은감,면적 (ha),3717
경상북도,2024,떫은감,면적 (ha),3791
경상남도,2019,떫은감,면적 (ha),1945
경상남도,2020,떫은감,면적 (ha),1821
경상남도,2021,떫은감,면적 (ha),1736
경상남도,2022,떫은감,면적 (ha),1955
경상남도,2023,떫은감,면적 (ha),1981
경상남도,2024,떫은감,면적 (ha),1990
강원도,2019,떫은감,10a당 생산량 (kg),940
강원도,2020,떫은감,10a당 생산량 (kg),809
강원도,2021,떫은감,10a당 생산량 (kg),726
강원도,2022,떫은감,10a당 생산량 (kg),960
강원도,2023,떫은감,10a당 생산량 (kg),859
강원도,2024,떫은감,10a당 생산량 (kg),787
전라남도,2019,떫은감,10a당 생산량 (kg),1151
전라남도,2020,떫은감,10a당 생산량 (kg),646
전라남도,2021,떫은감,10a당 생산량 (kg),558
전라남도,2022,떫은감,10a당 생산량 (kg),641
전라남도,2023,떫은감,10a당 생산량 (kg),527
전라남도,2024,떫은감,10a당 생산량 (kg),709
경상북도,2019,떫은감,10a당 생산량 (kg),1934
경상북도,2020,떫은감,10a당 생산량 (kg),1218
경상북도,2021,떫은감,10a당 생산량 (kg),1269
경상북도,2022,떫은감,10a당 생산량 (kg),1358
경상북도,2023,떫은감,10a당 생산량 (kg),1450
경상북도,2024,떫은감,10a당 생산량 (kg),1558
경상남도,2019,떫은감,10a당 생산량 (kg),957
경상남도,2020,떫은감,10a당 생산량 (kg),903
경상남도,2021,떫은감,10a당 생산량 (kg),950
경상남도,2022,떫은감,10a당 생산량 (kg),1031
경상남도,2023,떫은감,10a당 생산량 (kg),734
경상남도,2024,떫은감,10a당 생산량 (kg),898
강원도,2019,떫은감,생산량 (톤),1957
강원도,2020,떫은감,생산량 (톤),1931
강원도,2021,떫은감,생산량 (톤),1746
강원도,2022,떫은감,생산량 (톤),2323
강원도,2023,떫은감,생산량 (톤),1971
강원도,2024,떫은감,생산량 (톤),1899
전라남도,2019,떫은감,생산량 (톤),29954
전라남도,2020,떫은감,생산량 (톤),16119
전라남도,2021,떫은감,생산량 (톤),14571
전라남도,2022,떫은감,생산량 (톤),17158
전라남도,2023,떫은감,생산량 (톤),13762
전라남도,2024,떫은감,생산량 (톤),17720
경상북도,2019,떫은감,생산량 (톤),87525
경상북도,2020,떫은감,생산량 (톤),54836
경상북도,2021,떫은감,생산량 (톤),47771
경상북도,2022,떫은감,생산량 (톤),52683
경상북도,2023,떫은감,생산량 (톤),53889
